trigger_tag,trigger_canonical,related_tag,related_canonical,slot,support,trigger_lines,related_lines,total_lines,confidence,reverse_confidence,lift,pmi,score,safety_bin,safety_class,related_group,related_subgroup,related_source,expected_support,negative_score
doggystyle,doggystyle,lying,lying,pose_action,569,13200,48027,200039,0.043106,0.011848,0.179543,-2.477602,0.024801,nsfw,explicit_nsfw,表情动作,基础动作,weilin_tagcart.csv,3169.164013,2133.323762
doggystyle,doggystyle,sitting,sitting,pose_action,23,13200,32706,200039,0.001742,0.000703,0.010657,-6.552034,0.000809,nsfw,explicit_nsfw,表情动作,腿部动作,weilin_tagcart.csv,2158.175156,2112.42027
ass,ass,breast grab,breast_grab,body_detail,461,49327,12014,200039,0.009346,0.038372,0.155612,-2.683974,0.020798,suggestive,suggestive,NSFW,R18词,weilin_tagcart.csv,2962.495203,2112.232366
breast grab,breast_grab,ass,ass,body_detail,461,12014,49327,200039,0.038372,0.009346,0.155612,-2.683974,0.020798,suggestive,suggestive,NSFW,R18词,weilin_tagcart.csv,2962.495203,2112.232366
nude,nude,clothes pull,clothes_pull,clothing,1365,101769,8684,200039,0.013413,0.157186,0.308967,-1.694476,0.048482,nsfw,nudity_nsfw,表情动作,手部动作,weilin_tagcart.csv,4417.94848,2109.688346
cowgirl position,cowgirl_position,standing,standing,pose_action,8,16456,25701,200039,0.000486,0.000311,0.003784,-8.045941,0.000237,nsfw,explicit_nsfw,表情动作,基础动作,weilin_tagcart.csv,2114.265998,2098.296269
oral,oral,stomach,stomach,body_detail,425,14930,38586,200039,0.028466,0.011014,0.147575,-2.760476,0.019469,nsfw,explicit_nsfw,人物,腹部,danbooru_all.csv,2879.883323,2092.602878
ass visible through thighs,ass_visible_through_thighs,sex,sex,pose_action,37,5917,73101,200039,0.006253,0.000506,0.017112,-5.868879,0.001431,suggestive,suggestive,NSFW,R18词,weilin_tagcart.csv,2162.271442,2088.904573
sex,sex,ass visible through thighs,ass_visible_through_thighs,camera,37,73101,5917,200039,0.000506,0.006253,0.017112,-5.868879,0.001431,nsfw,explicit_nsfw,镜头,人物构图,danbooru_all.csv,2162.271442,2088.904573
straddling,straddling,pillow,pillow,scene,503,23061,26106,200039,0.021812,0.019268,0.167134,-2.580925,0.022648,suggestive,suggestive,场景,床上用品,weilin_tagcart.csv,3009.565465,2087.633747
small breasts,small_breasts,mole,mole,body_detail,799,57593,12149,200039,0.013873,0.065767,0.228429,-2.130182,0.033213,suggestive,suggestive,人物,面部,weilin_tagcart.csv,3497.804713,2082.319477
